# Model: Name of the sea ice forecast model
# Ensemble member: Name of the ensemble member. Only relevant for IceNet models - for SEAS5 and the linear trend model this is 'NA'. IceNet's temperature-scaled ensemble mean is labelled 'ensemble_tempscaled'. The non-temperature-scaled ensemble mean is labelled 'ensemble'
# Leadtime: Lead time of the forecast (number of months)
# Forecast date: Monthly-average target forecast date (day set to 01 by default)
# Binary accuracy: Percentage of grid cells with the correct binary prediction for SIC > 15% from the model, computed within a maximum sea ice climatology mask (%)
# SIE error: Sea ice extent (area covered by grid cells with SIC > 15%) error between model and OSI-SAF ground truth (km2)
#
Model,Ensemble member,Leadtime,Forecast date,Binary accuracy,SIE error
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-08-01,90.53859,-1104375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-09-01,92.280464,-690625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-10-01,88.89520999999999,-1323125.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-11-01,95.41026,-655625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2019-12-01,97.00007,-355625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-01-01,95.442856,-318750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-02-01,96.73965,-405000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-03-01,96.53841,-70625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-04-01,94.88150999999999,358750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-05-01,96.30893,46250.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-06-01,93.97507,154375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-07-01,90.84595,215000.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-08-01,93.010025,-264375.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-09-01,92.25964,245625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-10-01,95.30309,-65625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-11-01,92.48347,-770625.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,2,2020-12-01,96.328636,-348750.0
IceNet__2021_06_15_1854_icenet_nature_communications__unet_tempscale,36,3,2012-01-01,96.2629,118125.0
